_name_,_date_,_ageGroup_,_sex_,_userCategory_,_loyality_,_conditionInfo_,_Satisfaction_,_Effectiveness_,_EaseofUse_,_helpful_,_comment_
Georgess,11/26/2013 3:16,(19-24),Male,Patient,less than 1 month,Other,5,5,5,0,Extremely effective for the issues that I were suffering from.
,11/16/2013 18:27,(35-44),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,4,5,21,"I was finally diagnosed about twp years ago by a Psychiatrist. He had noticed  during my sessions with him that I would jump from on subject to another  and never really finish discussing one issue before skipping to something I needed to talk about. He asked me if I had ever been tested for ADHD and I said  ""No  but years earlier another doctor thought I should  but I just really didn't understand what could be done to help me focus; and truly thought that there's no way a medicine could help me stay focused on one task at a time. Since several years had passed by now  I decided to take the ADHD assessment test  and the results were that I'm ADHD  and that's when he started me on the Adderall 10mg twice daily  but the ended up raising the dosage to 20mg twice daily. I notice a complete difference in my ability to pay attention and to complete a task at work instead of having so many different things going on at once  but not following through well with any of the. I am much more calm;not figity.  It has helped my work performance and personal relationships."
kcfromkc,11/16/2013 17:00,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,10,"I have taken this drug for a few years  and the only apparent notice side effects I have had are rapid heart beat  hyper talkative (when I am around people).  About a year ago  I noticed that I was having mild to moderate facial ticks (rapid blinking  nose tick gestures)  etc.  I have know for many years that I have a very mild case of Tourette's Syndrome  but for some reason  the Adderall seems to have brought out those symptoms after two years  and not sure why this is happening.  When taking Adderall  I feel normal  active  hopeful and at my full potential -- and I have incredible focus at work.  When I don't take Adderall  I feel just the opposite; lethargic  depressed  and kind of generally overwhelmed with life.  My question is this  has any one else out there that also has Tourette's Syndrome  found a good remedy for this.  A combination drug with Adderall?  A smaller dosage of Adderall?  Currently  I take a 30mg generic  and it is called ""Amphetamine Salts ER 30 mg Cap""  manufactured by Teva/Barr.  I really hate to quit taking this  but near the end of the half life of the dose  the tourrette's syndrome symptoms are getting to the point where it is almost not worth taking.  Any feedback or input would be helpful and beneficial."
Rabbids,11/16/2013 0:07,(13-18),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,3,3,5,1,Fine
pat,11/13/2013 9:43,(55-64),,Caregiver,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,4,3,4,1,
,11/9/2013 0:16,(35-44),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,3,4,3,1,
tRodHxC,11/8/2013 10:46,(25-34),Male,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,4,Helps you reach your full potential!
,11/8/2013 1:01,(25-34),Female,Patient,2 to less than 5 years,Other,1,4,4,3,"Adderall worked great for the first year I was on it  then it turned on me.  This is a serious medication with serious side effects   I am shocked and disgusted that any parent would put a young child on such a strong drug for their ""ADD.""  I began with 20mg a day and had amazing grades while working full time as a bartender  I honestly felt like every time I popped one of these I got a little ""high"" from it and euphoric.  It made me impulsive  impatient  obsessive compulsive  and sometimes anti-social.  I wasn't aware how much this drug changed my personality until the third year I was on it.  I was fully addicted taking only 30 mg at the most in a day  but when the pills went on back order I realized how bad withdrawal sucked from it.  I couldn't leave my bed or do the simplest tasks without popping an adderall for the day.  I also became paranoid  and sometimes would hear things that weren't there  that's when I knew this drug was messing my head up.  I quit taking adderall and it took a good 6 months for me to regain my natural energy. I'm back to my normal  social  happy self.  I think adderall causes serious problems with your body  as I had heart palpitations  poor circulation  weight loss  chest pains  extreme insomnia  and mental instability while on this drug.  PARENTS PLEASE DO NOT PUT YOUR CHILDREN ON THIS DRUG unless you want them to grow up to be full blown drug addicts who resent you for introducing them to what seems to be legal coke or speed."
,11/4/2013 20:13,(35-44),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,3,3,4,0,
,11/2/2013 1:58,(25-34),Female,Patient,2 to less than 5 years,Other,5,4,3,0,
cureocity1,10/31/2013 21:40,(55-64),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,3,5,8,My initial reaction was extremely positive with noticeable improvement with focus and productivity. The medication still provides positive effects but to some extent the benefits have plateaued.
Scott,10/31/2013 11:23,(35-44),Male,Patient,6 months to less than 1 year,Other,5,5,5,6,"Hi I m a 44 yo male.i have had ADHD all my life but has not relly been treated properly for it.i now have a doctor that actually listens to what I have to say to him and work with me to his best knowledge. I had all the symptoms plus I was tired and moody doesn't describe how I was.my doctor put me on a small does of adderall UNTILL we got the dose as effective as possible for me.it has been a great relief to me that after he recommended and perscribed adderall to me that I can now. Finnish wht I started and my moods now instead of blowing up I know step back and just take a breath by no means is this a mirical but for me it's close as it gets.after suffering for so long it is like my outlook has changed greatly on how I did things and with all around me as far as being in a bad mood all the time.adderrall mite not work for everyone UNTILL someone finds the cause for my mood swings and depression  I have to say I don't want to go without them Until then.i don't believe in going straight to pills but so far no one has found the non drug cure for me so I'm great full for these for now..hope this will help someone ..p.s ( please do era search on all medication) I don't take any meds unless myself or my wife read up on the prescription as much as possible.    good luck
Scott.l"
lkg1974,10/31/2013 5:58,(35-44),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,5,5,5,8,I had no confidence self esteem or motivation until prescribed Adderall I have been unemployed for two years and been looking the whole time no successes after diagnosis and prescription I have had three interviews since July 2013
,10/25/2013 17:15,(7-12),Male,Caregiver,1 to 6 months,Attention Deficit Disorder with Hyperactivity,1,1,5,7,appears to make childs behavior worst. Child is not showing any aggressive behavior at home after the drug has worn off but exibt worst behavior while on the drug.
imbutthurt,10/23/2013 12:26,(0-2),Female,Caregiver,10 years or more,Other,1,1,1,0,im butthurt
valboyer87,10/20/2013 1:40,(25-34),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,4,
MyHealth4u2see,10/19/2013 20:09,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,1,2,3,13,"I was taking Adderall for almost 3 yrs . I was diagnosed with ADD at a tender age of 48 yrs old. 
I'm now off the medication now from having ER visits this year. I was having (what appeared) to be heart issues  maybe a seizure. Un-fortunately tests didn't find anything wrong  nor finding the exact cause.
But one identified issue was less sexual interest  EDD.
Hospital bills and other medical costs were escalating  I was once quite healthy  now these issues. My marriage means a lot  so I'm dealing with ADD without medication  and feeling better as a result- and no more EDD. 

Many physicians have different opinions about this medication  it's your responsibility to determine whether this medication is worth it and your overall health."
Jb,10/19/2013 20:05,(65-74),Female,None,None,Attention Deficit Disorder with Hyperactivity,1,2,1,3,By anise was the first medication my doctor prescribed and it made me aggressive and I didn't want my husband to touch me.  Adderall is my heater on the irritably.
jim,10/19/2013 17:28,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,21,Best drug I ever took. I'm 53yrs old been taking Adderall 60mgs a day for 3 yrs. prescribed by my doctor. BP After 2hrs taking Adderall 117/76 pulse 68 min. At the beginning my BP WAS 140/90 Pulse 90 beats per min. So once your body gets adjusted to it and you have no history heart disease in the family or high blood pressure this drug(like me with ADD)Will do wonder's. Do not listen to other people's experiences. Especially DO NOT Search the web for chat rooms talking nonsense jibberish about the drug. If you pay attention to the chat rooms on other people's opinions  you will commit suicide with all the crapola you will hear. Take the recommended dose from your doctor. Do not abuse the drug(snort inject taking 5 pills a day instead of 2) and your life will improve. I'm living proof...
,10/16/2013 16:20,(19-24),Female,None,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,17,I have been on ADD/ADHD medication since I was 7 years old. However  I did not take Adderall until I was 19 years old & it was the right ADD medicine for me. I had tried Concerta during high school & it made me like a zombie. That didn't mean I didn't have ADD/ADHD it just meant I was on the wrong medication. It can be vice versa for other people but my best advice I can give for finding the right ADD medication is you have found the right one if you still feel like yourself. If you are overly hyper or overly inactive  I highly recommend trying a different medication until you find one that you can't tell a big difference in your personality  but makes a big difference in your day.
mpizzo52,10/13/2013 22:49,(45-54),Male,None,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,4,5,1,
joeyy,10/12/2013 18:39,(45-54),Male,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,1,2,2,2,"Hyper focus. dry mouth. Both this and
straterra put me into state of manic.
Use depakote 750mg for  balanced head.
For anxiety use tenex and L-theanine
supplement (from green tea)200mg 2or3 times"
kate,10/10/2013 15:29,(45-54),Female,Caregiver,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,3,4,4,3,"I think he has developed a couple ""ticks"" with this medication. His eyes switch from side to side randomly. he grinds his teeth at night. Has trouble getting to sleep but when he does get to sleep he sleeps all night."
,10/10/2013 11:14,(35-44),Male,Patient,1 to less than 2 years,Recurring Sleep Episodes During the Day,5,4,5,0,
,10/9/2013 23:08,(65-74),Female,Patient,1 to less than 2 years,Recurring Sleep Episodes During the Day,2,3,5,1,I have Addison's disease with m0 adrenal activity.  At times Adderall has been effective but not all thje time.
,10/9/2013 20:24,(55-64),Male,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,1,
kenny,10/9/2013 20:10,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,3,3,3,2,Helps me focus better on topic or project at hand now  to stay in today.
Santiago,10/9/2013 12:26,(45-54),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,1,5,5,9,My eyelashes were noticeably falling out and I suffered hair loss when I started with the generic Adderall.  When I stopped for a while my eyelashes grew back.  Then because it was really helping me from a cognitive/neurological standpoint  I decided to try it again but this time with the name brand.  Unfortunately  the same thing happened to me just not as fast as with the generic.
,10/7/2013 6:47,(45-54),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,0,
Dextro,10/3/2013 20:25,(35-44),Male,Patient,10 years or more,Other,3,5,5,0,"Adderall non-xr use to be great kept the day and nights going...now it seem's that the pharma companies changed ingredients and Adderall is not the same as it use to be..
   If this drug was like it use to be then I would give 5 stars but since the changes in the chemistry ill give a 3 sat rating"
,10/3/2013 17:33,(45-54),Female,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,0,
,9/25/2013 23:15,(35-44),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,5,5,5,7,I am able to do so much very excited about this. not a scatter brain anymore.
,9/25/2013 15:12,(35-44),Female,Patient,less than 1 month,Other,1,1,1,0,My daghter took atterall given to her by a friend.  I took her to get a urinalysis It came back positive.  I want to monitor it myself and if necessary get her help I need to know how long does it take to get out of her system?
scdmella,9/25/2013 13:49,(35-44),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,3,4,3,14,I have taken both adderallxr and Adderall ir. I like the long lasting version better. There are good and bad effects from the medicine. The good is that you get things done  even if you don't want to. It also suppresses my appetite which is good as I tend to overeat. The bad effects
envoge77,9/23/2013 22:46,(65-74),Female,None,None,Other,5,5,5,1,Now totally focused and sleeping well.
Bobby64,9/23/2013 15:31,(19-24),Male,Patient,less than 1 month,Other,1,1,5,1,My psychiatrist gave this to me for my depression.  I often jolted awake from my sleep while taking it  and even if I did sleep okay  I still felt super tired.  I also felt a tad anxious and jittery.  What really bothered me about it was that  in the two hours before I got out of bed every morning  I practically lost control of my thoughts if I wasn’t asleep.  My brain kept doing its own thing.  It didn’t help with my depression  so I didn’t stay on it long.  Keep in mind  though  that fifteen antidepressants have failed me  so I have a very stubborn case of it.
,9/21/2013 2:38,(55-64),Female,Patient,1 to less than 2 years,Other,4,3,4,0,
,9/20/2013 21:38,(25-34),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,4,4,5,12,KEEPS ME FOCUSED AND ABLE TO COMPLETE TASKS
ree,9/16/2013 23:20,(35-44),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,5,5,5,2,
kathyknightrider,9/14/2013 17:49,(55-64),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,4,4,3,I am a little sleepy on this med. work better and faster. Sleep better.
Harleydon54,9/14/2013 12:00,(55-64),Male,Patient,6 months to less than 1 year,Other,5,5,5,4,Im more focused  and alert to my engineering position. Im not starting one project and starting another  just like cleaning my home. First I would put something away and while in that room  I would see another project  that was not on my mind to do  and I would start that  and part way into that  it would end up that I would not complete any one object.
Ann,9/13/2013 16:39,(45-54),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,5,5,5,13,I am a 54 year old woman who didn't want to take this drug but it works  O just wish it lasted longer. I take 30mg. twice a day  it help me with depression also.
toocoot,9/11/2013 19:44,(45-54),Female,Patient,1 to 6 months,Other,5,5,5,1,I FEEL BETTER PHYSICALLY AND EMOTIONALLY.I HAVE THE ABILITY TO GET THINGS DONE DURING THE DAY THAT I NEED TO GET DONE WHEN NOT TAKING THE ADDERALL I COULDNT.
nana07,9/9/2013 12:13,(35-44),Female,Caregiver,less than 1 month,Attention Deficit Disorder with Hyperactivity,3,4,4,6,the only thing about this medication is it has taking my sons appetite away  and it makes him very sensitive. he's on 10mg so I think it is to strong. when he was on 5mg he done great. His grades improved  and he was able to stay on task at hand.
star11,9/8/2013 15:25,(19-24),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,3,4,3,1,having head spasms.???
,9/7/2013 12:35,(55-64),Male,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,4,3,4,0,
,9/5/2013 13:27,(19-24),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,4,3,5,10,From a completely statistical standpoint  this has improved my ability to focus and get accomplish tasks with higher efficiency. However  it has altered my personality and I am very easily angered. The dry mouth  altough less severe  painful and inconvenient. So  if reviewing the effecitveness of the drug's intended purpose  it works very well. Overall  I still give it a thumbs-up  but I have suffered socially. Especially the false sense of well-being. I will continue to take this  though.
b-dazzled,9/1/2013 19:05,(45-54),Male,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,5,5,5,4,helps with interaction with others as well as focus
T-BONE,9/1/2013 10:59,(55-64),Male,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,5,4,5,0,
,9/1/2013 0:33,,Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,4,1,0,
,8/29/2013 22:24,(25-34),Female,Patient,less than 1 month,Other,5,4,4,6,I am on this to help with my depression and to keep me awake during the day because my zyprexa makes me sleep 16 hours a day. It really helps me have energy  motivation  focus  and less depression.
Colby,8/29/2013 12:41,(45-54),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,1,1,4,0,It is not working.
mom2,8/28/2013 21:44,(45-54),Female,Caregiver,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,4,4,1,really affective
didmyownhomework,8/25/2013 0:50,(35-44),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,12,"Best decision I've ever made & I did my homework!! Listened to ""medical professionals ""  therapists  teachers  co-workers...say ""he can't focus  worries too much  can't stay on task etc."" so I tried countless ""drugs"". (brand/generic names excluded on purpose). Antidepressants (research these placebo effects)  sleep med  muscle/stress med  etc.. I needed ""adder all.""  FYI. I tried the ""XR"" version  no thank you  we all need to sleep."
,8/19/2013 19:03,,,None,6 months to less than 1 year,Recurring Sleep Episodes During the Day,3,3,1,2,moodiness  mean behavior
Thankful,8/11/2013 10:25,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,51,"I came to this site today to review opinions between ""Brand"" and generic Adderrall and thought I should add my personal experience with this medication.

I was diagnosed with depression 14 years ago and was prescribed Paxil. After six months of little change in my condition  I was prescribed Prozac and Xanax. Over the next few years  my conditioned worsened. I was eventually prescribed Ambien for insomnia  which was a huge mistake.

I became addicted to Ambien  not for the sleep benefits but for the Utopian feeling it provided me. I would take it several times during the day  and quickly began running out of my prescriptions. This led to ""Doc Shopping "" and eventually I had three doctors writing me scripts every month.

Long story short"
,8/10/2013 8:15,(45-54),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,5,5,5,5,
polakdavid,8/7/2013 23:41,(13-18),Male,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,3,5,5,4,It helps me focus but also make me anxious and never hungry. I also feel that it may be   having a depression side effect on me after my 10+ years of use.
Nessa Girlie,8/5/2013 20:33,(25-34),Female,Patient,2 to less than 5 years,Other,5,5,5,3,Use it for ADD & has definitely helped me focus better at work & with every day tasks.
,8/3/2013 8:27,(25-34),Female,Caregiver,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,5,5,12,"I was on Adderall for three years for ADD (non hyperactive) and it worked great for focus and attention. Increased my blood pressure slightly  but I had low BP to begin with  so this was not an issue. The drawbacks were increased anxiety (worsened with time)  muscle tensions (again  became worse with time)  and for lack of a better term  impatience (I tended to be ""short"" with people on this/ snap at people more often than normal). Overall  I would recommend it for ADD/ ADHD"
,8/2/2013 14:40,(65-74),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,3,3,4,0,I have tryed serveral drug  serests  paoxetine  ritalin  xanax and nothing helped me. Now I want to try this.I heard severall posirieve reactions
,8/2/2013 13:54,(55-64),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,5,5,5,10,CHANGED MY LIFE; I CAN NOW FOCUS ON A TASK INSTEAD OF GETTING ANTSY AND HARD TO SIT STILL.  I CAN NOW PAY ATTENTION AND HEAR WHAT A PERSON IS SAYING.
sickntired,7/31/2013 21:11,(45-54),Female,Patient,1 to 6 months,Recurring Sleep Episodes During the Day,3,3,3,3,why i am in a severe depression because its 3 days before my script can be filled and doctors dont care how many days its been  since the last refill and dont count calendar days like they should
,7/31/2013 8:37,(19-24),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,7,"This has helped me get through school and get my act together. I get the ""jitters"" and I rely on the medication to perform at a basic level. I have messed around with dosages for years and I'm currently at 2 30mg per day. This helps me focus and allows me to finish things. Much better than all the other ADHD meds I have tried."
,7/25/2013 20:36,(55-64),Female,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,1,1,1,9,It was like living in a horror movie.
tmc1918,7/19/2013 21:06,(55-64),Male,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,4,4,5,2,
skg,7/19/2013 17:53,(55-64),Male,Patient,5 to less than 10 years,Recurring Sleep Episodes During the Day,4,4,4,7,I am about to turn 63 next month. I have lived with ADD since as far back as I can remember.Being a child of the fifties I was labeled as some body not paying attention to studies just a lazy kid with mediocre grades through out high school. When I went to college the steep curb was too much for me to handle so I started to fail in math and sciences.That brought over a major depression and a sence failure in life besides a lot of efforts from the age of 18 till I was about 55 years old.No body believed me when I said I was having problems absorbing class lectures and studies  they all thought I just did not try hard enough. At age 55 on my suggestion my doctor prescribed me Adderol 20 mg  vow a heavy fog was lifted out of my brain and I can feel the world around me much clearer. I wish all those specailist had diagnosed me sooner so I did not have to put all the missery and disoppintments. I am taking low dosage of this medication thats keep me going to perform my job much better than before. I still have my low moments but they are not very frequent. By the way I was not hyper active kid just distracted kid.
,7/17/2013 22:31,(35-44),,None,None,Attention Deficit Disorder with Hyperactivity,4,3,5,2,
,7/17/2013 0:38,(45-54),Male,Patient,2 to less than 5 years,Recurring Sleep Episodes During the Day,4,3,4,0,
k9kraze,7/14/2013 19:50,(55-64),Female,Patient,2 to less than 5 years,Other,5,5,5,8,I have MDD and have taken over 40 medications with no positive results. As a last resort a psychiatrist tried Adderall and my world became 'nomal'. I have feelings  energy  no more lying in bed all day. It has been a miracle. I realize the potential for addiction and I never go over my daily dose. Many doctors disagree with taking this med for depression  but it's the only thing that has helped me since 1988.
,7/14/2013 15:49,(65-74),Male,Patient,2 to less than 5 years,Recurring Sleep Episodes During the Day,1,1,4,0,it does not work
spe,7/13/2013 18:00,(35-44),Female,None,None,Recurring Sleep Episodes During the Day,1,1,1,0,uyfghdfjhkh
Slowpoke,7/13/2013 4:02,(55-64),Male,Patient,2 to less than 5 years,Other,4,3,3,2,"It's prescribed for me due to low systolic BP as low as 65. The condition is known ""Orthostasis""t. 20 mg of Adderal restores some level of energy which allows me to walk from room to room and perform minimal house hold chores until the Orthostasis stops. Occasionally 40mg is necessary just to be able to physically get up and move. At no time am I able to go outdoors for even a short walk. Driving is out."
,7/11/2013 21:20,,Female,None,None,Recurring Sleep Episodes During the Day,5,4,4,0,good
happy,7/10/2013 19:24,(35-44),Female,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,5,5,5,29,I have always been very awkward socially  wildly hyper  not able to make decisions  full of anxiety  and depressed - not to mention totally unable to focus ! I will also have to add low self - esteem and full of  guilt were some emotions I have felt all my life in addition to the above statement. With Adderall though ( the generic ) I feel and experience none or very little of any of these crippling feelings. I am surprised and feel blessed that I can finally feel normal  happy  and focused.
3thenp,7/9/2013 0:43,(55-64),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,4,4,4,21,I have noticed that I my body is not so exhausted and I can actually think and plan things much easier.  I am more organized and able to concentrate on one thing at a time  rather than get side-tracked by other things.
,7/8/2013 16:17,(35-44),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,3,3,3,3,
,7/8/2013 4:56,(35-44),Male,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,2,5,3,2,
DeeDiva,7/1/2013 23:07,(35-44),Female,Patient,less than 1 month,Other,5,4,4,4,I just started adderall and I was at first scared to death because I read all the bad reviews  but after talking to the pharmacy  she says the put kids on these meds. So I decided to go take a chance I couldn't get out of bed couldn't remember anything...I suggest if you start off to break the pills in fours if you start on 10's and put a little in your system at a time  because you will need to have more and more because it does wear off...I am with one lady if you have a problem then this medicine is a life saver  but if you taking it for a high  it is highly addictive. I don't even have to take mine everyday just on days when I need to get up and get out of bed. I have MS  and this medicine works..Only side effect is that I itch internally like I wanna scratch my liver or kidney and I can't...lol.. try it for yourself everyone is different.
suzie-q,6/27/2013 16:37,(35-44),Female,Patient,2 to less than 5 years,Other,5,5,5,9,I was given this for depression. I tried ever antidepressant there was my Dr put me on this within one week I was a new person. It was the first time I felt like being around anyone
,6/26/2013 2:00,(65-74),Female,Patient,10 years or more,Attention Deficit Disorder with Hyperactivity,3,3,3,2,I have taken it for years after a head injury
,6/18/2013 22:36,(35-44),Female,Patient,less than 1 month,Other,5,5,5,1,helps me fill better and consitrate
LindaSue,6/18/2013 9:46,(55-64),Female,Patient,less than 1 month,Recurring Sleep Episodes During the Day,3,4,4,1,It seems to be working.. Especially with concentration
dsevak,6/13/2013 10:41,,Female,Patient,6 months to less than 1 year,Recurring Sleep Episodes During the Day,5,5,5,0,
winrhynu,6/13/2013 9:36,(35-44),Female,Patient,less than 1 month,Other,5,5,5,8,I suffer from Dysthymia. It is a form of depression that is always there with major episodes.  I am now on my second round with low dose therapy Adderall as a central nervous system stimulant to counter the severe fatigue.  The first round ended 2 1/2 yrs ago and it worked great. I took 20mg in the morning and 20mg in the afternoon with very few side effects.  The side effects that I did notice were my blood pressure was on the higher end of 120/80 and my appetite was decreased (not that this is a bad thing).  I have just started back on the therapy again.  I am hoping that it works as well this time.
Linda,6/12/2013 0:08,(55-64),Female,Patient,5 to less than 10 years,Recurring Sleep Episodes During the Day,4,4,5,4,I HAVE HAD SURGERY ON MY BACK. IT DIDNT HELP AT ALL  ONLY LEFT ME A CRIPPLE. MY 'OTHER DOCTOR HAD ME TRY THESE  TO GIVE ME A LITTLE PUSH  SO I COULD ATLEASE GIVE MYSELF A BATH  COOK AN CLEAN A BIT. WITH NO HEAVY LIFTING. HELPS A LOT!
,6/10/2013 12:19,(65-74),Female,Patient,1 to less than 2 years,Other,3,3,5,0,
Sophie,6/7/2013 16:00,(45-54),Female,Patient,1 to 6 months,Attention Deficit Disorder with Hyperactivity,4,3,5,23,The benefits outweigh the side effects for me. I have struggled for years with understanding the reason for what I called 'the fog' I was experiencing. I had been able to manage my ADD without medication until my late 40s. Adderall has worked for me.
,6/6/2013 22:10,(7-12),Male,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,1,1,1,6,
Just_Me,6/4/2013 13:17,(13-18),Male,Patient,less than 1 month,Other,5,4,5,0,Good  except I get the occasional bad side effects.
NSA,6/3/2013 19:44,(35-44),Female,Patient,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,4,3,5,7,Adderall & Adderall XR did not work well for me  the generic did.
mikedoodle,6/3/2013 13:11,(13-18),Male,Patient,less than 1 month,Attention Deficit Disorder with Hyperactivity,4,4,4,12,"Adderall is so fare great. Helps me in school ALOT. and makes me not interrupt people and go into random conversations like always would do...
Ive gone from Cs And Ds to Bs and As


The only problem is it can cause some anxiety and eating problems so i have to force food down because im on the skinny side... I also had a panic attack the second day i took it because my heart was beating faced and i thought i was having a heart attack. But i wasnt... Thanks adderall!"
,5/20/2013 11:55,(55-64),Female,Patient,6 months to less than 1 year,Other,5,5,5,2,it gives me focus energy and i have deppresssion and anxiety disorder it seems to help with all of these
Cass,5/31/2013 7:40,(19-24),Female,Patient,2 to less than 5 years,Attention Deficit Disorder with Hyperactivity,2,4,5,17,I took adderall for a very long time. 40 mgs XR a day  30 mgs in the morning and 10 at night. It works  however I wouldn't suggest it go to just anyone.. Adderall has a severe side effect which happens to almost everyone who takes it. Not eating  its not that you don't want to eat but that your just not hungry  you feel full. Put it like this I'm 21 years old and was about 130 pounds  perfect weight when I took adderall my weight fluctuates alot  I'm not 115. I actually force myself to eat because with adderall you won't eat for days  literally. My sister who is 26 years old and slightly overweight took adderall and lost about 100 pounds in just a 2 months. She looked fantastic  however thats just not healthy. Now my sisters pregnant and she gained all that weight back plus baby weight. Although  it does what its suppose to do you make a choice  Do you want to get rid of a problem to gain another problem? Your decision!
PillPoppinPiggy,5/24/2013 13:46,(45-54),Male,Patient,1 to 6 months,Other,5,4,5,5,I don't give a shit what it's intended use is
,5/21/2013 11:20,(25-34),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,4,4,5,14,Before taking Adderall  my thoughts were not organized and if I didn't write something down  I was not going to remember it. Since beginning it  my family and friends have noticed the organization in my thoughts and reasoning skills. As a college student  I had never had a teacher compliment my organization in a paper until I was medicated; I was so excited to see the comment on a paper I called my parents and nearly cried! Unfortunately I think I need to up my prescription as I am finding my mind wandering more throughout the day  but I am still anxious by the end of the day. I don't know what I would do without Adderall  but I just hope it continues helping like it did in the beginning!
MrsMeyer11,5/16/2013 15:51,(35-44),Female,Patient,6 months to less than 1 year,Attention Deficit Disorder with Hyperactivity,5,5,5,22,I have had great results with this drug.  I feel like a fog has lifted and I can get things done.  I have lost a lot of weight (45+ pounds) since starting it.  I'm just not hungry.  I also have some difficulty with not sleeping  especially if I take it later in the day.  I do have a tendency to manipulate that though so I can stay up and work on big projects.  Overall  it's caused a huge improvement for me.
tapiot,5/14/2013 18:04,(55-64),Male,Patient,1 to less than 2 years,Attention Deficit Disorder with Hyperactivity,5,5,5,21,For nearly 2 years I took amphetamine salts ER (a generic) and it worked well. No issues with sleep...but  very easy to abuse...if I needed to get something done  could take late in the day and stay up all night. Advantageous at times but I got out of that mode very quick. Then about 3 weeks  it just quit working. I am tired most of the time and if I try to watch a video that I am interested in  about 15 minutes and I have to go do something else. So this week we will shift to something different....but  it worked great for a long time. I was taking 60mg every morning....
,5/14/2013 6:53,(45-54),Female,Patient,5 to less than 10 years,Recurring Sleep Episodes During the Day,5,5,5,1,
Anniex30,5/13/2013 13:47,(45-54),Female,None,5 to less than 10 years,Attention Deficit Disorder with Hyperactivity,5,5,5,12,With depression  the use of Adderall is just about the only med that lets me get out of bed.
adderall oral,5/8/2013 8:23,(45-54),Male,Caregiver,less than 1 month,Recurring Sleep Episodes During the Day,5,5,4,0,
